Round, Selected Clients
0, 7, 4, 1, 8
1, 9, 4, 2, 5
2, 2, 4, 0, 8
3, 8, 7, 1, 4
4, 7, 4, 6, 3
5, 6, 7, 3, 0
6, 4, 5, 2, 6
7, 2, 5, 9, 3
8, 7, 8, 9, 4
9, 0, 5, 6, 3
10, 1, 8, 2, 6
11, 7, 5, 1, 9
12, 9, 0, 3, 2
13, 6, 4, 2, 5
14, 2, 6, 0, 3
15, 4, 0, 1, 2
16, 8, 6, 5, 0
17, 6, 9, 5, 3
18, 5, 8, 4, 0
19, 1, 8, 9, 5
20, 0, 8, 7, 5
21, 9, 0, 8, 4
22, 8, 9, 5, 7
23, 8, 0, 5, 7
24, 1, 3, 7, 8
25, 9, 7, 8, 4
26, 4, 2, 1, 3
27, 8, 5, 9, 6
28, 9, 7, 6, 4
29, 0, 6, 2, 7
30, 3, 1, 2, 8
31, 6, 8, 1, 5
32, 0, 6, 5, 8
33, 4, 6, 5, 2
34, 0, 5, 2, 3
35, 8, 3, 1, 6
36, 4, 2, 5, 6
37, 0, 8, 6, 7
38, 8, 4, 9, 5
39, 8, 4, 9, 6
40, 8, 1, 7, 0
41, 4, 5, 6, 8
42, 2, 8, 7, 0
43, 9, 2, 4, 8
44, 8, 4, 5, 2
45, 5, 3, 4, 8
46, 6, 0, 5, 1
47, 4, 0, 3, 2
48, 7, 6, 0, 3
49, 5, 6, 9, 1
