Round,ClientIndex,ExecTimeSec
0,0,4.557214
0,1,2.331994
0,2,12.511128
0,3,6.896746
0,4,9.014991
1,0,4.448522
1,1,1.488018
1,2,2.987651
1,3,8.401695
1,4,6.067322
2,0,9.278348
2,1,2.325171
2,2,7.319014
2,3,5.592108
2,4,4.219015
3,0,6.734674
3,1,4.733695
3,2,3.313091
3,3,1.389368
3,4,8.120199
4,0,7.477602
4,1,4.016362
4,2,9.157363
4,3,2.596645
4,4,6.090156
5,0,7.078798
5,1,3.112582
5,2,4.414634
5,3,5.729442
5,4,1.744688
6,0,5.732614
6,1,4.308370
6,2,2.971457
6,3,7.066148
6,4,1.605845
7,0,7.092843
7,1,5.714247
7,2,2.751795
7,3,1.362897
7,4,4.317667
8,0,1.957007
8,1,6.358782
8,2,3.514230
8,3,7.821618
8,4,5.016647
9,0,4.657062
9,1,7.573559
9,2,3.340268
9,3,5.981560
9,4,2.040066
10,0,7.296989
10,1,1.699661
10,2,3.123276
10,3,5.979796
10,4,4.453897
11,0,6.649054
11,1,5.294592
11,2,1.343979
11,3,3.994580
11,4,2.662184
12,0,3.263198
12,1,4.570497
12,2,7.307369
12,3,5.974665
12,4,1.871743
13,0,3.170028
13,1,5.878299
13,2,4.552859
13,3,1.763543
13,4,7.195656
14,0,4.247115
14,1,1.515089
14,2,2.822386
14,3,7.181777
14,4,5.639292
15,0,3.119932
15,1,4.479017
15,2,1.689129
15,3,5.921529
15,4,7.451463
16,0,7.429848
16,1,3.103599
16,2,1.731486
16,3,4.608112
16,4,6.096603
17,0,4.648793
17,1,7.451833
17,2,6.102927
17,3,3.121609
17,4,1.556800
18,0,1.394014
18,1,7.635747
18,2,4.382667
18,3,6.127383
18,4,2.869855
19,0,2.292849
19,1,3.666084
19,2,6.383601
19,3,7.756988
19,4,5.035091
20,0,1.526434
20,1,4.302169
20,2,2.958427
20,3,5.692880
20,4,7.009738
21,0,7.974555
21,1,1.582378
21,2,5.130360
21,3,6.542319
21,4,3.602002
22,0,2.844923
22,1,5.697394
22,2,4.243910
22,3,1.417671
22,4,7.066974
23,0,7.033907
23,1,2.872337
