Round,NumSelected,DownBytes,UpBytes,TotalBytes,CumulativeBytes
0,5,70680,70680,141360,141360
1,5,70680,70680,141360,282720
2,5,70680,70680,141360,424080
3,5,70680,70680,141360,565440
4,5,70680,70680,141360,706800
5,5,70680,70680,141360,848160
6,5,70680,70680,141360,989520
7,5,70680,70680,141360,1130880
8,5,70680,70680,141360,1272240
9,5,70680,70680,141360,1413600
10,5,70680,70680,141360,1554960
11,5,70680,70680,141360,1696320
12,5,70680,70680,141360,1837680
13,5,70680,70680,141360,1979040
14,5,70680,70680,141360,2120400
15,5,70680,70680,141360,2261760
16,5,70680,70680,141360,2403120
17,5,70680,70680,141360,2544480
18,5,70680,70680,141360,2685840
19,5,70680,70680,141360,2827200
20,5,70680,70680,141360,2968560
21,5,70680,70680,141360,3109920
22,5,70680,70680,141360,3251280
23,5,70680,70680,141360,3392640
24,5,70680,70680,141360,3534000
25,5,70680,70680,141360,3675360
26,5,70680,70680,141360,3816720
27,5,70680,70680,141360,3958080
28,5,70680,70680,141360,4099440
29,5,70680,70680,141360,4240800
30,5,70680,70680,141360,4382160
31,5,70680,70680,141360,4523520
32,5,70680,70680,141360,4664880
33,5,70680,70680,141360,4806240
34,5,70680,70680,141360,4947600
35,5,70680,70680,141360,5088960
36,5,70680,70680,141360,5230320
37,5,70680,70680,141360,5371680
38,5,70680,70680,141360,5513040
39,5,70680,70680,141360,5654400
40,5,70680,70680,141360,5795760
41,5,70680,70680,141360,5937120
42,5,70680,70680,141360,6078480
43,5,70680,70680,141360,6219840
44,5,70680,70680,141360,6361200
45,5,70680,70680,141360,6502560
46,5,70680,70680,141360,6643920
47,5,70680,70680,141360,6785280
48,5,70680,70680,141360,6926640
49,5,70680,70680,141360,7068000
50,5,70680,70680,141360,7209360
51,5,70680,70680,141360,7350720
52,5,70680,70680,141360,7492080
53,5,70680,70680,141360,7633440
54,5,70680,70680,141360,7774800
55,5,70680,70680,141360,7916160
56,5,70680,70680,141360,8057520
57,5,70680,70680,141360,8198880
58,5,70680,70680,141360,8340240
59,5,70680,70680,141360,8481600
60,5,70680,70680,141360,8622960
61,5,70680,70680,141360,8764320
62,5,70680,70680,141360,8905680
63,5,70680,70680,141360,9047040
64,5,70680,70680,141360,9188400
65,5,70680,70680,141360,9329760
66,5,70680,70680,141360,9471120
67,5,70680,70680,141360,9612480
68,5,70680,70680,141360,9753840
69,5,70680,70680,141360,9895200
70,5,70680,70680,141360,10036560
71,5,70680,70680,141360,10177920
72,5,70680,70680,141360,10319280
73,5,70680,70680,141360,10460640
74,5,70680,70680,141360,10602000
75,5,70680,70680,141360,10743360
76,5,70680,70680,141360,10884720
77,5,70680,70680,141360,11026080
78,5,70680,70680,141360,11167440
79,5,70680,70680,141360,11308800
80,5,70680,70680,141360,11450160
81,5,70680,70680,141360,11591520
82,5,70680,70680,141360,11732880
83,5,70680,70680,141360,11874240
84,5,70680,70680,141360,12015600
85,5,70680,70680,141360,12156960
86,5,70680,70680,141360,12298320
87,5,70680,70680,141360,12439680
88,5,70680,70680,141360,12581040
89,5,70680,70680,141360,12722400
90,5,70680,70680,141360,12863760
91,5,70680,70680,141360,13005120
92,5,70680,70680,141360,13146480
93,5,70680,70680,141360,13287840
94,5,70680,70680,141360,13429200
95,5,70680,70680,141360,13570560
96,5,70680,70680,141360,13711920
97,5,70680,70680,141360,13853280
98,5,70680,70680,141360,13994640
99,5,70680,70680,141360,14136000
100,5,70680,70680,141360,14277360
101,5,70680,70680,141360,14418720
102,5,70680,70680,141360,14560080
103,5,70680,70680,141360,14701440
104,5,70680,70680,141360,14842800
105,5,70680,70680,141360,14984160
106,5,70680,70680,141360,15125520
107,5,70680,70680,141360,15266880
108,5,70680,70680,141360,15408240
109,5,70680,70680,141360,15549600
110,5,70680,70680,141360,15690960
111,5,70680,70680,141360,15832320
112,5,70680,70680,141360,15973680
113,5,70680,70680,141360,16115040
114,5,70680,70680,141360,16256400
115,5,70680,70680,141360,16397760
116,5,70680,70680,141360,16539120
117,5,70680,70680,141360,16680480
118,5,70680,70680,141360,16821840
119,5,70680,70680,141360,16963200
120,5,70680,70680,141360,17104560
121,5,70680,70680,141360,17245920
122,5,70680,70680,141360,17387280
123,5,70680,70680,141360,17528640
124,5,70680,70680,141360,17670000
125,5,70680,70680,141360,17811360
126,5,70680,70680,141360,17952720
127,5,70680,70680,141360,18094080
128,5,70680,70680,141360,18235440
129,5,70680,70680,141360,18376800
130,5,70680,70680,141360,18518160
131,5,70680,70680,141360,18659520
132,5,70680,70680,141360,18800880
133,5,70680,70680,141360,18942240
134,5,70680,70680,141360,19083600
135,5,70680,70680,141360,19224960
136,5,70680,70680,141360,19366320
137,5,70680,70680,141360,19507680
138,5,70680,70680,141360,19649040
139,5,70680,70680,141360,19790400
140,5,70680,70680,141360,19931760
141,5,70680,70680,141360,20073120
142,5,70680,70680,141360,20214480
143,5,70680,70680,141360,20355840
144,5,70680,70680,141360,20497200
145,5,70680,70680,141360,20638560
146,5,70680,70680,141360,20779920
147,5,70680,70680,141360,20921280
148,5,70680,70680,141360,21062640
149,5,70680,70680,141360,21204000
150,5,70680,70680,141360,21345360
151,5,70680,70680,141360,21486720
152,5,70680,70680,141360,21628080
153,5,70680,70680,141360,21769440
154,5,70680,70680,141360,21910800
155,5,70680,70680,141360,22052160
156,5,70680,70680,141360,22193520
157,5,70680,70680,141360,22334880
158,5,70680,70680,141360,22476240
159,5,70680,70680,141360,22617600
160,5,70680,70680,141360,22758960
161,5,70680,70680,141360,22900320
162,5,70680,70680,141360,23041680
163,5,70680,70680,141360,23183040
164,5,70680,70680,141360,23324400
165,5,70680,70680,141360,23465760
166,5,70680,70680,141360,23607120
167,5,70680,70680,141360,23748480
168,5,70680,70680,141360,23889840
169,5,70680,70680,141360,24031200
170,5,70680,70680,141360,24172560
171,5,70680,70680,141360,24313920
172,5,70680,70680,141360,24455280
173,5,70680,70680,141360,24596640
174,5,70680,70680,141360,24738000
175,5,70680,70680,141360,24879360
176,5,70680,70680,141360,25020720
177,5,70680,70680,141360,25162080
178,5,70680,70680,141360,25303440
179,5,70680,70680,141360,25444800
180,5,70680,70680,141360,25586160
181,5,70680,70680,141360,25727520
182,5,70680,70680,141360,25868880
183,5,70680,70680,141360,26010240
184,5,70680,70680,141360,26151600
185,5,70680,70680,141360,26292960
186,5,70680,70680,141360,26434320
187,5,70680,70680,141360,26575680
188,5,70680,70680,141360,26717040
189,5,70680,70680,141360,26858400
190,5,70680,70680,141360,26999760
191,5,70680,70680,141360,27141120
192,5,70680,70680,141360,27282480
193,5,70680,70680,141360,27423840
194,5,70680,70680,141360,27565200
195,5,70680,70680,141360,27706560
196,5,70680,70680,141360,27847920
197,5,70680,70680,141360,27989280
198,5,70680,70680,141360,28130640
199,5,70680,70680,141360,28272000
200,5,70680,70680,141360,28413360
201,5,70680,70680,141360,28554720
202,5,70680,70680,141360,28696080
203,5,70680,70680,141360,28837440
204,5,70680,70680,141360,28978800
205,5,70680,70680,141360,29120160
206,5,70680,70680,141360,29261520
207,5,70680,70680,141360,29402880
208,5,70680,70680,141360,29544240
209,5,70680,70680,141360,29685600
210,5,70680,70680,141360,29826960
211,5,70680,70680,141360,29968320
212,5,70680,70680,141360,30109680
213,5,70680,70680,141360,30251040
214,5,70680,70680,141360,30392400
215,5,70680,70680,141360,30533760
216,5,70680,70680,141360,30675120
217,5,70680,70680,141360,30816480
218,5,70680,70680,141360,30957840
219,5,70680,70680,141360,31099200
220,5,70680,70680,141360,31240560
221,5,70680,70680,141360,31381920
222,5,70680,70680,141360,31523280
223,5,70680,70680,141360,31664640
224,5,70680,70680,141360,31806000
225,5,70680,70680,141360,31947360
226,5,70680,70680,141360,32088720
227,5,70680,70680,141360,32230080
228,5,70680,70680,141360,32371440
229,5,70680,70680,141360,32512800
230,5,70680,70680,141360,32654160
231,5,70680,70680,141360,32795520
232,5,70680,70680,141360,32936880
233,5,70680,70680,141360,33078240
234,5,70680,70680,141360,33219600
235,5,70680,70680,141360,33360960
236,5,70680,70680,141360,33502320
237,5,70680,70680,141360,33643680
238,5,70680,70680,141360,33785040
239,5,70680,70680,141360,33926400
240,5,70680,70680,141360,34067760
241,5,70680,70680,141360,34209120
242,5,70680,70680,141360,34350480
243,5,70680,70680,141360,34491840
244,5,70680,70680,141360,34633200
245,5,70680,70680,141360,34774560
246,5,70680,70680,141360,34915920
247,5,70680,70680,141360,35057280
248,5,70680,70680,141360,35198640
